,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uptake of non-domestic low carbon  heating technologies and energy efifiency measures,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low carbon heating (TWh of space heating demand met),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,,,2025,,,,,2030,,,,,2035,,,,,2040,,,,,2045,,,,,2050,,,,,,,,,,,,,,,,,
Consumer Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,2030 breakdown,,,,,,,,2050 breakdown,,,,,2030,,2050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCH % of Heating,new LCH uptake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,Uptake only,,,,Uptake only,,,,,38%,14%,
,District Heating, 0.42 , 0.45 , 0.58 , 0.70 , 0.83 , 1.00 , 1.18 , 1.31 , 1.40 , 1.53 , 1.64 , 1.74 , 1.83 , 1.95 , 2.07 , 2.18 , 2.27 , 2.40 , 2.54 , 2.65 , 2.76 , 2.90 , 3.04 , 3.17 , 3.26 , 3.40 , 3.42 , 3.47 , 3.48 , 3.54 , 3.55 ,,District Heating, 1.64 ,6%,,District Heating, 1.64 ,45%,,District Heating, 3.55 ,13%,,,,,
,Biomass boiler, 3.21 , 3.17 , 3.12 , 3.07 , 3.02 , 2.96 , 2.91 , 2.88 , 2.84 , 2.81 , 2.78 , 2.76 , 2.74 , 2.72 , 2.71 , 2.71 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 ,,Biomass boiler, 2.78 ,10%,,Biomass boiler, 0.39 ,11%,,Biomass boiler, 2.70 ,10%,,,,,
,ASHP, 0.00 , 0.06 , 0.12 , 0.19 , 0.26 , 0.33 , 0.41 , 0.49 , 0.59 , 0.71 , 0.87 , 1.05 , 1.24 , 1.45 , 1.69 , 1.99 , 2.40 , 3.14 , 3.89 , 4.63 , 5.38 , 6.12 , 6.87 , 7.53 , 8.19 , 8.85 , 9.52 , 10.18 , 10.84 , 11.21 , 11.21 ,,ASHP, 0.87 ,3%,,ASHP, 0.87 ,24%,,ASHP, 11.21 ,41%,,,,,
,High Temperature ASHP, 0.00 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 , 0.02 , 0.02 , 0.03 , 0.03 , 0.03 , 0.04 , 0.04 , 0.05 , 0.07 , 0.09 , 0.12 , 0.15 , 0.18 , 0.20 , 0.23 , 0.26 , 0.28 , 0.31 , 0.34 , 0.37 , 0.39 , 0.41 , 0.41 ,,High Temperature ASHP, 0.03 ,0%,,High Temperature ASHP, 0.03 ,1%,,High Temperature ASHP, 0.41 ,2%,,,,,
,GSHP, 0.00 , 0.05 , 0.09 , 0.14 , 0.19 , 0.25 , 0.31 , 0.37 , 0.44 , 0.53 , 0.66 , 0.80 , 0.94 , 1.10 , 1.28 , 1.50 , 1.80 , 2.34 , 2.88 , 3.42 , 3.97 , 4.51 , 5.05 , 5.53 , 6.00 , 6.48 , 6.95 , 7.42 , 7.90 , 8.16 , 8.16 ,,GSHP, 0.66 ,2%,,GSHP, 0.66 ,18%,,GSHP, 8.16 ,30%,,,,,
,High Temperature GSHP, 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.02 , 0.02 , 0.02 , 0.03 , 0.03 , 0.03 , 0.04 , 0.05 , 0.05 , 0.06 , 0.07 , 0.09 , 0.13 , 0.17 , 0.21 , 0.24 , 0.28 , 0.32 , 0.36 , 0.39 , 0.43 , 0.47 , 0.51 , 0.55 , 0.57 , 0.57 ,,High Temperature GSHP, 0.03 ,0%,,High Temperature GSHP, 0.03 ,1%,,High Temperature GSHP, 0.57 ,2%,,,,,
,Hybrid HP bottled - bioLPG, 0.00 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 , 0.02 , 0.03 , 0.04 , 0.05 , 0.06 , 0.07 , 0.08 , 0.10 , 0.11 , 0.12 , 0.13 , 0.14 , 0.16 , 0.17 , 0.18 , 0.18 , 0.18 , 0.18 , 0.18 , 0.18 , 0.18 , 0.18 , 0.18 ,,Hybrid HP bottled - bioLPG, 0.04 ,0%,,Hybrid HP bottled - bioLPG, 0.04 ,1%,,Hybrid HP bottled - bioLPG, 0.18 ,1%,,,,,
,Hybrid HP - H2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,Hybrid HP - H2, -   ,0%,,Hybrid HP - H2, -   ,0%,,Hybrid HP - H2, -   ,0%,,,,,
,H2 Boiler, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,H2 Boiler, -   ,0%,,H2 Boiler, -   ,0%,,H2 Boiler, -   ,0%,,,,,
,Electric Resistive, 5.68 , 5.58 , 5.44 , 5.31 , 5.16 , 5.01 , 4.85 , 4.72 , 4.59 , 4.43 , 4.19 , 3.99 , 3.80 , 3.61 , 3.42 , 3.24 , 3.03 , 2.76 , 2.48 , 2.21 , 1.94 , 1.66 , 1.39 , 1.22 , 1.06 , 0.90 , 0.74 , 0.58 , 0.42 , 0.33 , 0.33 ,,Electric Resistive, 4.19 ,15%,,Electric Resistive, 0.02 ,1%,,Electric Resistive, 0.33 ,1%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas boiler, 14.42 ,53%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil boiler, 2.40 ,9%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tot, 27.06 ,,,,,,,,,,,,,,
,Total, 9.31 , 9.32 , 9.38 , 9.44 , 9.50 , 9.58 , 9.71 , 9.82 , 9.93 , 10.09 , 10.24 , 10.45 , 10.68 , 10.99 , 11.36 , 11.84 , 12.48 , 13.69 , 14.91 , 16.11 , 17.31 , 18.55 , 19.79 , 20.95 , 22.09 , 23.26 , 24.32 , 25.41 , 26.45 , 27.10 , 27.10 ,,,,,,Tot uptake, 3.69 ,,,, 27.10 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,2030,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCH % of Heating,new LCH uptake,
,District Heating, 0.46 , 0.49 , 0.71 , 0.96 , 1.23 , 1.51 , 1.82 , 2.05 , 2.28 , 2.49 , 2.70 , 2.91 , 3.11 , 3.29 , 3.47 , 3.64 , 3.81 , 3.99 , 4.17 , 4.37 , 4.57 , 4.78 , 5.00 , 5.21 , 5.43 , 5.65 , 5.66 , 5.72 , 5.72 , 5.79 , 5.79 ,,District Heating, 2.70 ,9%,,District Heating, 2.70 ,9%,,District Heating, 5.79 ,20%,,,44%,21%,
,Biomass boiler, 3.03 , 3.00 , 2.95 , 2.89 , 2.83 , 2.76 , 2.68 , 2.63 , 2.58 , 2.50 , 2.43 , 2.37 , 2.31 , 2.24 , 2.19 , 2.14 , 2.10 , 2.08 , 2.07 , 2.06 , 2.06 , 2.06 , 2.06 , 2.06 , 2.09 , 2.12 , 2.16 , 2.19 , 2.23 , 2.25 , 2.25 ,,Biomass boiler, 2.43 ,8%,,Biomass boiler, 0.39 ,6%,,Biomass boiler, 2.25 ,8%,,,,,
,ASHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,ASHP, -   ,0%,,ASHP, -   ,0%,,ASHP, -   ,0%,,,,,
,High Temperature ASHP, 0.00 , 0.02 , 0.04 , 0.07 , 0.09 , 0.12 , 0.15 , 0.18 , 0.23 , 0.29 , 0.39 , 0.50 , 0.60 , 0.71 , 0.82 , 0.93 , 1.07 , 1.28 , 1.48 , 1.69 , 1.89 , 2.10 , 2.31 , 2.44 , 2.57 , 2.70 , 2.83 , 2.96 , 3.09 , 3.17 , 3.17 ,,High Temperature ASHP, 0.39 ,1%,,High Temperature ASHP, 0.34 ,5%,,High Temperature ASHP, 3.17 ,11%,,,,,
,GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,GSHP, -   ,0%,,GSHP, -   ,0%,,GSHP, -   ,0%,,,,,
,High Temperature GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,High Temperature GSHP, -   ,0%,,High Temperature GSHP, -   ,0%,,High Temperature GSHP, -   ,0%,,,,,
,Hybrid HP bottled - bioLPG, 0.00 , 0.01 , 0.02 , 0.03 , 0.04 , 0.05 , 0.07 , 0.08 , 0.11 , 0.14 , 0.21 , 0.28 , 0.34 , 0.41 , 0.47 , 0.52 , 0.58 , 0.64 , 0.70 , 0.76 , 0.82 , 0.88 , 0.94 , 0.94 , 0.94 , 0.94 , 0.94 , 0.94 , 0.94 , 0.94 , 0.94 ,,Hybrid HP bottled - bioLPG, 0.21 ,1%,,Hybrid HP bottled - bioLPG, 0.20 ,3%,,Hybrid HP bottled - bioLPG, 0.94 ,3%,,,,,
,Hybrid HP - H2, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.05 , 0.10 , 0.15 , 0.19 , 0.24 , 0.28 , 0.32 , 0.37 , 0.41 , 0.45 , 0.49 , 0.54 , 0.58 , 0.62 , 0.67 , 0.67 , 0.67 , 0.67 , 0.67 , 0.67 , 0.67 , 0.67 ,,Hybrid HP - H2, 0.10 ,0%,,Hybrid HP - H2, 0.04 ,1%,,Hybrid HP - H2, 0.67 ,2.2%,,,,,
,H2 Boiler, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.18 , 2.33 , 3.44 , 4.51 , 5.52 , 6.50 , 7.45 , 8.37 , 9.29 , 10.23 , 11.17 , 12.14 , 13.12 , 14.10 , 15.10 , 15.09 , 15.09 , 15.09 , 15.09 , 15.09 , 15.09 , 15.09 ,,H2 Boiler, 2.33 ,8%,,H2 Boiler, 2.33 ,37%,,H2 Boiler, 15.09 ,51%,,,,,
,Electric Resistive, 6.87 , 6.78 , 6.65 , 6.51 , 6.34 , 6.17 , 5.99 , 5.84 , 5.70 , 5.42 , 5.11 , 4.80 , 4.51 , 4.21 , 3.92 , 3.65 , 3.38 , 3.13 , 2.89 , 2.66 , 2.43 , 2.22 , 2.00 , 1.87 , 1.85 , 1.84 , 1.82 , 1.81 , 1.80 , 1.79 , 1.79 ,,Electric Resistive, 5.11 ,17%,,Electric Resistive, 0.21 ,3%,,Electric Resistive, 1.79 ,6%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas boiler, 14.23 ,47%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil boiler, 2.45 ,8%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tot, 29.95 ,,,,,,,,,,,,,,
,Total, 10.36 , 10.31 , 10.37 , 10.45 , 10.53 , 10.61 , 10.71 , 10.79 , 10.89 , 12.08 , 13.28 , 14.44 , 15.57 , 16.61 , 17.65 , 18.66 , 19.69 , 20.82 , 21.98 , 23.20 , 24.45 , 25.73 , 27.03 , 28.29 , 28.65 , 29.01 , 29.17 , 29.38 , 29.54 , 29.69 , 29.69 ,,,,,,Tot uptake, 6.21 ,,,, 29.69 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading the Way,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,2030,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCH % of Heating,new LCH uptake,
,District Heating, 0.42 , 0.44 , 0.64 , 0.85 , 1.08 , 1.30 , 1.56 , 1.74 , 1.88 , 2.04 , 2.19 , 2.34 , 2.49 , 2.66 , 2.83 , 3.01 , 3.19 , 3.37 , 3.56 , 3.74 , 3.93 , 4.12 , 4.31 , 4.50 , 4.69 , 4.88 , 4.89 , 4.94 , 4.95 , 5.01 , 5.01 ,,District Heating, 2.19 ,9%,,District Heating, 2.19 ,33%,,District Heating, 5.01 ,20%,,,42%,27%,
,Biomass boiler, 3.17 , 3.12 , 3.05 , 2.97 , 2.89 , 2.81 , 2.74 , 2.69 , 2.62 , 2.55 , 2.49 , 2.46 , 2.44 , 2.43 , 2.42 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 , 2.41 ,,Biomass boiler, 2.49 ,9%,,Biomass boiler, 0.79 ,12%,,Biomass boiler, 2.41 ,9%,,,,,
,ASHP, 0.00 , 0.10 , 0.20 , 0.30 , 0.42 , 0.54 , 0.69 , 0.90 , 1.12 , 1.39 , 1.76 , 2.44 , 3.10 , 3.76 , 4.42 , 5.08 , 5.75 , 6.43 , 7.10 , 7.77 , 8.41 , 9.02 , 9.62 , 10.22 , 10.22 , 10.22 , 10.22 , 10.22 , 10.22 , 10.22 , 10.22 ,,ASHP, 1.76 ,7%,,ASHP, 2.01 ,30%,,ASHP, 10.22 ,40%,,,,,
,High Temperature ASHP, 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.02 , 0.02 , 0.03 , 0.03 , 0.04 , 0.05 , 0.08 , 0.10 , 0.13 , 0.15 , 0.18 , 0.20 , 0.23 , 0.25 , 0.27 , 0.30 , 0.32 , 0.35 , 0.37 , 0.37 , 0.37 , 0.37 , 0.37 , 0.37 , 0.37 , 0.37 ,,High Temperature ASHP, 0.05 ,0%,,High Temperature ASHP, 0.06 ,1%,,High Temperature ASHP, 0.37 ,1%,,,,,
,GSHP, 0.00 , 0.07 , 0.14 , 0.22 , 0.30 , 0.39 , 0.50 , 0.66 , 0.82 , 1.02 , 1.28 , 1.76 , 2.22 , 2.69 , 3.15 , 3.62 , 4.09 , 4.56 , 5.03 , 5.51 , 5.95 , 6.37 , 6.79 , 7.20 , 7.20 , 7.20 , 7.20 , 7.20 , 7.20 , 7.20 , 7.20 ,,GSHP, 1.28 ,5%,,GSHP, 1.45 ,22%,,GSHP, 7.20 ,28%,,,,,
,High Temperature GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,High Temperature GSHP, -   ,0%,,High Temperature GSHP, -   ,0%,,High Temperature GSHP, -   ,0%,,,,,
,Hybrid HP bottled - bioLPG, 0.00 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.02 , 0.03 , 0.04 , 0.05 , 0.06 , 0.07 , 0.08 , 0.09 , 0.10 , 0.11 , 0.12 , 0.13 , 0.15 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 , 0.16 ,,Hybrid HP bottled - bioLPG, 0.06 ,0%,,Hybrid HP bottled - bioLPG, 0.07 ,1%,,Hybrid HP bottled - bioLPG, 0.16 ,1%,,,,,
,Hybrid HP - H2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,Hybrid HP - H2, -   ,0%,,Hybrid HP - H2, -   ,0%,,Hybrid HP - H2, -   ,0%,,,,,
,H2 Boiler, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , 0.04 , 0.05 , 0.07 , 0.09 , 0.10 , 0.12 , 0.14 , 0.15 , 0.17 , 0.19 , 0.20 , 0.22 , 0.24 , 0.26 , 0.26 , 0.26 , 0.26 , 0.26 , 0.26 , 0.26 , 0.26 ,,H2 Boiler, 0.04 ,0%,,H2 Boiler, 0.04 ,1%,,H2 Boiler, 0.26 ,1%,,,,,
,Electric Resistive, 5.60 , 5.46 , 5.26 , 5.06 , 4.84 , 4.61 , 4.37 , 4.11 , 3.80 , 3.48 , 3.17 , 2.84 , 2.54 , 2.25 , 1.98 , 1.72 , 1.46 , 1.21 , 0.96 , 0.70 , 0.51 , 0.35 , 0.19 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 ,,Electric Resistive, 3.17 ,12%,,Electric Resistive, 0.01 ,0%,,Electric Resistive, 0.04 ,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas boiler, 11.55 ,43%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil boiler, 1.80 ,7%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tot, 24.40 ,,,,,,,,,,,,,,
,Total, 9.19 , 9.19 , 9.29 , 9.41 , 9.54 , 9.70 , 9.92 , 10.16 , 10.31 , 10.59 , 11.05 , 12.05 , 13.06 , 14.09 , 15.16 , 16.25 , 17.37 , 18.49 , 19.63 , 20.75 , 21.88 , 22.98 , 24.08 , 25.16 , 25.35 , 25.54 , 25.55 , 25.60 , 25.60 , 25.66 , 25.66 ,,,,,,Tot uptake, 6.63 ,,,, 25.66 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
