Building archetype ID,Sector,Fuel,Size,Floor area (m2),Stock,Annual space heating demand (kWh/m2),Annual hot water demand (kWh/m2),Total Heat demand (kWh)
1,"Community, arts & leisure",Electricity,Large," 469,414 ", 232 ,79.3,4.1," 39,149,225 "
2,"Community, arts & leisure",Electricity,Medium," 2,943,441 "," 6,845 ",79.3,4.1," 245,483,832 "
3,"Community, arts & leisure",Electricity,small," 249,931 "," 1,549 ",79.3,4.1," 20,844,323 "
4,"Community, arts & leisure",Gas,Large," 9,841,598 "," 2,640 ",99.9,5.1," 1,033,743,213 "
5,"Community, arts & leisure",Gas,Medium," 6,932,865 "," 14,055 ",99.9,5.1," 728,215,350 "
6,"Community, arts & leisure",Gas,small," 442,732 "," 3,071 ",99.9,5.1," 46,503,800 "
7,"Community, arts & leisure",Other,Large," 4,182,021 "," 1,112 ",99.9,5.1," 439,271,744 "
8,"Community, arts & leisure",Other,Medium," 1,628,158 "," 2,948 ",99.9,5.1," 171,018,659 "
9,"Community, arts & leisure",Other,small," 37,437 ", 220 ,99.9,5.1," 3,932,299 "
10,Education,Electricity,Large," 554,635 ", 75 ,83.9,14.7," 54,686,240 "
11,Education,Electricity,Medium," 1,950,446 "," 1,973 ",83.9,14.7," 192,311,333 "
12,Education,Electricity,small," 107,195 ", 703 ,83.9,14.7," 10,569,259 "
13,Education,Gas,Large," 16,241,559 "," 1,359 ",105.7,18.5," 2,016,871,269 "
14,Education,Gas,Medium," 13,040,347 "," 9,192 ",105.7,18.5," 1,619,345,801 "
15,Education,Gas,small," 195,182 "," 1,349 ",105.7,18.5," 24,237,577 "
16,Education,Other,Large," 2,102,442 ", 264 ,105.7,18.5," 261,080,570 "
17,Education,Other,Medium," 2,110,704 "," 1,470 ",105.7,18.5," 262,106,456 "
18,Education,Other,small," 12,036 ", 76 ,105.7,18.5," 1,494,683 "
19,Emergency Services,Electricity,Large," 119,402 ", 20 ,145.9,19.7," 19,781,694 "
20,Emergency Services,Electricity,Medium," 34,469 ", 49 ,145.9,19.7," 5,710,513 "
21,Emergency Services,Electricity,small, 432 , 50 ,145.9,19.7," 71,499 "
22,Emergency Services,Gas,Large," 2,139,475 ", 358 ,183.8,24.9," 446,413,634 "
23,Emergency Services,Gas,Medium," 1,096,946 "," 1,166 ",183.8,24.9," 228,884,043 "
24,Emergency Services,Gas,small," 4,035 ", 293 ,183.8,24.9," 842,007 "
25,Emergency Services,Other,Large," 24,284 ", 8 ,183.8,24.9," 5,066,995 "
26,Emergency Services,Other,Medium," 22,114 ", 32 ,183.8,24.9," 4,614,203 "
27,Emergency Services,Other,small, 86 , 3 ,183.8,24.9," 17,846 "
28,Health,Electricity,Large," 354,866 ", 58 ,111.6,39.9," 53,749,664 "
29,Health,Electricity,Medium," 810,553 "," 2,309 ",111.6,39.9," 122,769,989 "
30,Health,Electricity,small," 14,541 ", 272 ,111.6,39.9," 2,202,484 "
31,Health,Gas,Large," 12,243,298 ", 886 ,140.6,50.2," 2,335,547,858 "
32,Health,Gas,Medium," 5,900,854 "," 12,220 ",140.6,50.2," 1,125,654,863 "
33,Health,Gas,small," 61,376 "," 1,280 ",140.6,50.2," 11,708,193 "
34,Health,Other,Large," 47,677 ", 9 ,140.6,50.2," 9,094,945 "
35,Health,Other,Medium," 298,493 ", 946 ,140.6,50.2," 56,940,982 "
36,Health,Other,small," 8,560 ", 159 ,140.6,50.2," 1,633,000 "
37,Hospitality,Electricity,Large," 6,875,836 "," 6,936 ",79.0,26.5," 725,551,843 "
38,Hospitality,Electricity,Medium," 9,757,543 "," 34,032 ",79.0,26.5," 1,029,635,291 "
39,Hospitality,Electricity,small," 42,967 "," 1,763 ",79.0,26.5," 4,533,953 "
40,Hospitality,Gas,Large," 13,904,083 "," 7,128 ",99.5,33.4," 1,847,841,836 "
41,Hospitality,Gas,Medium," 5,939,819 "," 22,726 ",99.5,33.4," 789,397,252 "
42,Hospitality,Gas,small," 253,568 "," 10,379 ",99.5,33.4," 33,699,045 "
43,Hospitality,Other,Large," 11,558,704 "," 7,476 ",99.5,33.4," 1,536,142,810 "
44,Hospitality,Other,Medium," 1,144,210 "," 3,932 ",99.5,33.4," 152,064,638 "
45,Hospitality,Other,small," 4,434 ", 166 ,99.5,33.4," 589,272 "
46,Industrial,Electricity,Large," 5,018,179 "," 2,328 ",64.8,1.6," 333,385,625 "
47,Industrial,Electricity,Medium," 8,192,871 "," 27,982 ",64.8,1.6," 544,298,074 "
48,Industrial,Electricity,small," 61,783 "," 1,333 ",64.8,1.6," 4,104,587 "
49,Industrial,Gas,Large," 7,323,080 "," 2,742 ",81.7,2.0," 612,736,812 "
50,Industrial,Gas,Medium," 5,948,766 "," 24,389 ",81.7,2.0," 497,745,175 "
51,Industrial,Gas,small," 243,329 "," 5,710 ",81.7,2.0," 20,359,850 "
52,Industrial,Other,Large," 782,633 ", 390 ,81.7,2.0," 65,484,468 "
53,Industrial,Other,Medium," 2,335,013 "," 10,475 ",81.7,2.0," 195,375,238 "
54,Industrial,Other,small," 67,574 "," 1,599 ",81.7,2.0," 5,654,064 "
55,Offices,Electricity,Large," 793,017 ", 785 ,65.3,8.7," 58,665,293 "
56,Offices,Electricity,Medium," 13,065,131 "," 111,067 ",65.3,8.7," 966,524,191 "
57,Offices,Electricity,small," 319,434 "," 12,372 ",65.3,8.7," 23,630,902 "
58,Offices,Gas,Large," 20,009,644 "," 12,270 ",82.3,10.9," 1,864,308,672 "
59,Offices,Gas,Medium," 13,027,930 "," 98,955 ",82.3,10.9," 1,213,818,862 "
60,Offices,Gas,small," 442,046 "," 17,578 ",82.3,10.9," 41,185,625 "
61,Offices,Other,Large," 7,120,849 "," 3,205 ",82.3,10.9," 663,453,139 "
62,Offices,Other,Medium," 4,444,004 "," 29,765 ",82.3,10.9," 414,050,094 "
63,Offices,Other,small," 29,053 "," 1,190 ",82.3,10.9," 2,706,922 "
64,Retail,Electricity,Large," 5,205,780 "," 12,156 ",66.6,2.6," 360,124,702 "
65,Retail,Electricity,Medium," 11,983,361 "," 107,533 ",66.6,2.6," 828,983,268 "
66,Retail,Electricity,small," 146,865 "," 10,276 ",66.6,2.6," 10,159,825 "
67,Retail,Gas,Large," 17,446,991 "," 11,614 ",83.9,3.3," 1,520,082,579 "
68,Retail,Gas,Medium," 2,233,468 "," 20,632 ",83.9,3.3," 194,592,599 "
69,Retail,Gas,small," 101,457 "," 7,004 ",83.9,3.3," 8,839,500 "
70,Retail,Other,Large," 4,310,896 "," 3,390 ",83.9,3.3," 375,590,141 "
71,Retail,Other,Medium," 739,747 "," 5,433 ",83.9,3.3," 64,451,026 "
72,Retail,Other,small," 6,389 ", 433 ,83.9,3.3," 556,688 "
73,Storage,Electricity,Large," 579,631 ", 248 ,29.1,1.6," 17,830,298 "
74,Storage,Electricity,Medium," 4,625,673 "," 15,869 ",29.1,1.6," 142,292,528 "
75,Storage,Electricity,small," 206,331 "," 3,525 ",29.1,1.6," 6,347,057 "
76,Storage,Gas,Large," 11,708,493 "," 2,144 ",36.7,2.0," 453,615,285 "
77,Storage,Gas,Medium," 7,790,157 "," 20,198 ",36.7,2.0," 301,809,474 "
78,Storage,Gas,small," 347,240 "," 6,029 ",36.7,2.0," 13,452,928 "
79,Storage,Other,Large," 25,538,614 "," 5,168 ",36.7,2.0," 989,427,530 "
80,Storage,Other,Medium," 4,974,616 "," 7,479 ",36.7,2.0," 192,728,632 "
81,Storage,Other,small," 20,600 ", 348 ,36.7,2.0," 798,079 "
