Non-domestic projections for district heating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% Of space heating demand,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,DFES DH scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumter Transformation,Medium,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,7%,8%,9%,9%,10%,10%,11%,11%,12%,12%,13%,13%,14%,14%,15%,15%,15%,15%,15%,
System Transformation,High,1%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,24%,24%,24%,24%,24%,
Leading the Way,High,1%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,24%,24%,24%,24%,24%,
Steady Progression,Medium,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,7%,8%,9%,9%,10%,10%,11%,11%,12%,12%,13%,13%,14%,14%,15%,15%,15%,15%,15%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Space heating demand met by DH (including new builds and EE),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,DFES DH scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumter Transformation,Medium, 422 , 451 , 576 , 691 , 813 , 964 ," 1,135 "," 1,244 "," 1,317 "," 1,424 "," 1,518 "," 1,591 "," 1,659 "," 1,756 "," 1,856 "," 1,951 "," 2,028 "," 2,144 "," 2,265 "," 2,359 "," 2,458 "," 2,581 "," 2,707 "," 2,822 "," 2,907 "," 3,031 "," 3,046 "," 3,096 "," 3,101 "," 3,159 "," 3,163 ",
System Transformation,High, 458 , 492 , 710 , 959 ," 1,231 "," 1,509 "," 1,824 "," 2,054 "," 2,278 "," 2,494 "," 2,705 "," 2,910 "," 3,105 "," 3,286 "," 3,463 "," 3,634 "," 3,807 "," 3,982 "," 4,168 "," 4,363 "," 4,565 "," 4,774 "," 4,988 "," 5,205 "," 5,422 "," 5,642 "," 5,653 "," 5,716 "," 5,722 "," 5,790 "," 5,794 ",
Leading the Way,High, 362 , 387 , 557 , 749 , 959 ," 1,173 "," 1,419 "," 1,598 "," 1,762 "," 1,932 "," 2,101 "," 2,271 "," 2,443 "," 2,622 "," 2,801 "," 2,985 "," 3,173 "," 3,360 "," 3,548 "," 3,737 "," 3,925 "," 4,115 "," 4,305 "," 4,495 "," 4,685 "," 4,876 "," 4,886 "," 4,940 "," 4,945 "," 5,004 "," 5,008 ",
Steady Progression,Medium,367,395,572,777,1006,1247,1527,1742,1957,2170,2382,2596,2810,3037,3265,3504,3752,4002,4254,4503,4747,4989,5228,5465,5701,5935,5950,6017,6025,6096,6101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DH fuel intensity by scenario from domestic model (kWh/KWhth),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumter Transformation,Methane (Gas),1.149,1.149,1.149,1.149,1.149,0.910,0.707,0.589,0.508,0.423,0.351,0.289,0.242,0.194,0.152,0.117,0.083,0.052,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,Electricity,0.000,0.000,0.000,0.000,0.000,0.077,0.142,0.180,0.206,0.234,0.257,0.277,0.292,0.308,0.321,0.332,0.343,0.353,0.362,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,0.370,
,Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
System Transformation,Methane (Gas),1.149,1.149,1.149,1.149,1.149,0.942,0.777,0.688,0.616,0.557,0.509,0.468,0.432,0.402,0.375,0.352,0.320,0.291,0.259,0.211,0.164,0.109,0.071,0.051,0.028,0.016,0.004,0.002,0.000,0.000,0.000,
,Electricity,0.000,0.000,0.000,0.000,0.000,0.067,0.120,0.149,0.172,0.191,0.206,0.220,0.231,0.241,0.249,0.257,0.264,0.270,0.275,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280,
,Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.021,0.037,0.069,0.116,0.171,0.209,0.229,0.252,0.264,0.276,0.278,0.280,0.280,0.280,
Leading the Way,Methane (Gas),1.149,1.149,1.149,0.871,0.657,0.495,0.367,0.297,0.240,0.194,0.155,0.123,0.095,0.071,0.050,0.031,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,Electricity,0.000,0.000,0.000,0.070,0.126,0.191,0.241,0.270,0.293,0.312,0.328,0.341,0.352,0.362,0.371,0.378,0.385,0.391,0.397,0.401,0.400,0.399,0.397,0.396,0.395,0.394,0.394,0.394,0.394,0.394,0.394,
,Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Steady Progression,Methane (Gas),1.149,1.149,1.149,1.149,1.149,0.975,0.816,0.736,0.693,0.634,0.584,0.542,0.519,0.485,0.455,0.439,0.414,0.393,0.373,0.355,0.345,0.330,0.316,0.308,0.296,0.284,0.284,0.279,0.278,0.274,0.274,
,Electricity,0.000,0.000,0.000,0.000,0.000,0.056,0.107,0.133,0.147,0.166,0.182,0.195,0.203,0.214,0.223,0.229,0.237,0.244,0.250,0.256,0.259,0.264,0.268,0.271,0.275,0.278,0.279,0.280,0.280,0.282,0.282,
,Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 485 , 518 , 661 , 794 , 935 , 876 , 802 , 732 , 669 , 602 , 532 , 460 , 402 , 341 , 282 , 228 , 168 , 112 , 56 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 74 , 162 , 225 , 272 , 333 , 390 , 441 , 484 , 540 , 596 , 648 , 696 , 757 , 820 , 873 , 909 , 955 ," 1,002 "," 1,044 "," 1,076 "," 1,121 "," 1,127 "," 1,145 "," 1,147 "," 1,169 "," 1,170 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 526 , 565 , 815 ," 1,101 "," 1,414 "," 1,420 "," 1,418 "," 1,413 "," 1,403 "," 1,390 "," 1,376 "," 1,361 "," 1,342 "," 1,321 "," 1,299 "," 1,278 "," 1,217 "," 1,158 "," 1,078 ", 922 , 747 , 519 , 354 , 266 , 152 , 90 , 22 , 9 , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 101 , 218 , 305 , 391 , 475 , 558 , 639 , 717 , 791 , 863 , 934 ," 1,004 "," 1,074 "," 1,147 "," 1,222 "," 1,278 "," 1,337 "," 1,397 "," 1,457 "," 1,518 "," 1,580 "," 1,583 "," 1,600 "," 1,602 "," 1,621 "," 1,622 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leading the Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 416 , 445 , 640 , 652 , 630 , 581 , 521 , 474 , 423 , 374 , 326 , 279 , 232 , 186 , 140 , 93 , 47 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , 52 , 121 , 224 , 342 , 432 , 517 , 603 , 689 , 774 , 861 , 949 ," 1,039 "," 1,130 "," 1,222 "," 1,314 "," 1,407 "," 1,500 "," 1,570 "," 1,641 "," 1,711 "," 1,782 "," 1,852 "," 1,923 "," 1,927 "," 1,947 "," 1,949 "," 1,971 "," 1,972 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steady Progression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 421 , 454 , 657 , 893 ," 1,156 "," 1,215 "," 1,245 "," 1,282 "," 1,357 "," 1,377 "," 1,392 "," 1,407 "," 1,458 "," 1,473 "," 1,487 "," 1,537 "," 1,555 "," 1,572 "," 1,587 "," 1,600 "," 1,638 "," 1,646 "," 1,652 "," 1,682 "," 1,685 "," 1,688 "," 1,687 "," 1,680 "," 1,678 "," 1,671 "," 1,669 "
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 70 , 164 , 232 , 287 , 360 , 433 , 507 , 570 , 649 , 729 , 801 , 888 , 975 ," 1,063 "," 1,151 "," 1,229 "," 1,316 "," 1,402 "," 1,481 "," 1,567 "," 1,653 "," 1,658 "," 1,685 "," 1,689 "," 1,717 "," 1,720 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
